iter	Passed	Remaining
0	265	132342
1	325	80941
2	421	69794
3	491	60937
4	638	63205
5	691	56909
6	804	56634
7	936	57564
8	997	54416
9	1037	50831
10	1081	48070
11	1184	48160
12	1318	49407
13	1465	50865
14	1566	50634
15	1712	51808
16	1872	53203
17	1941	51988
18	2027	51338
19	2156	51766
20	2342	53422
21	2491	54131
22	2543	52754
23	2597	51507
24	2695	51217
25	2749	50130
26	2792	48921
27	2931	49422
28	2999	48708
29	3128	49016
30	3227	48833
31	3377	49389
32	3522	49843
33	3643	49938
34	3764	50015
35	3800	48983
36	3872	48458
37	3993	48556
38	4128	48798
39	4251	48890
40	4375	48989
41	4464	48686
42	4624	49150
43	4779	49533
44	4905	49600
45	5076	50107
46	5197	50096
47	5328	50177
48	5456	50221
49	5577	50194
50	5705	50228
